title,firstname,lastname,gender,company,industry,functionality,city,country,type,email,username,password,whitelist,blacklist,avatar,secretId
,Admin,Istrator,female,MatchMaking,Other,Other,Nirvana,Heaven,Administrator,admin@matchmaking.de,MatchMaking,OKMAKSDFASFDLJLKAEJRELKRJARLSDKUFLASDFKUASLKDFJLK,'',*,0,1
,Hendrik,Bonmann,male,Keeping,Automotive,Sales,Munich,Germany,Visitor,hendrik@bonmann.de,hendrik,test2,'','',3,2
,Johann,Hipper,male,Changer,Automotive,Marketing,Munich,Germany,Visitor,johann@hipper.de,johann,test3,'','',4,3
Dr,Marco,Hiller,male,TSV1860Munich',ICT,Marketing,Munich,Germany,Visitor,Marco@Hiller.de,marcohiller,test1,'','',2,4
,Tom,Kretschmar,male,GoAway,ICT,IT,Bocholt,Germany,Visitor,tom@kretschmar.de,tom,test4,'','',6,5
,Simon,Lorenz,male,VFLBochum,ICT,IT,Bochum,Germany,Exhibitor,simon@lorenz.de,simon,test5,'','',6,6
Prof,Semi,Belkahla,male,MSVDuisburg,Electronics,Other,Duisburg,Germany,Visitor,sweetlilly@yahoo.com,sweetlilly,test6,'','',7,7
Dr,Romuald,Lacazette,male,Arminia,Electronics,Other,Bielefeld,Germany,Visitor,homofuerst@polizisten-duzer.de,Romuald,test8,'','',9,9
Dr,Dennis,Dressel,male,Mittelfeld,ICT,Other,Kassel,Germany,Visitor,dennis@dressel.de,Dennis,test9,'','',10,10
Dr,Nico,Karger,male,Sturm,Other,ICT,Paris,France,Visitor,nico.karger@gmail.com,NicoKarger,test10,'','',11,11
,PrinceOsel,Owusu,male,RuwandaOilKG,Other,Other,Moscow,Russia,Visitor,princecommanderinchiefowusubelududoru@hutulu.com,PrinceOwusu,test11,'','',12,12
,Lea,Reckhord,female,LMU,Other,Other,Munich,Germany,Visitor,lea.reckhord@gmail.de,Lea,lea,'','',13,13
Dr,Lena,Both,female,Liebherr,Construction,Sales,Stuttgart,Germany,Exhibitor,lena.both@liebherr.de,Lena.Both,persona,'','',14,14
,Marc,Scholz,male,Bilfinger,Construction,Manager,Mannheim,Germany,Visitor,marc.scholz@bilfinger.de,marc.scholz,persona,'','',15,15
Prof._Dr.,Tobias_,Kunz,Male,The_Nerd_Group,Consumer_goods,Quality_Management,Munich,United_States_of_America,,tobias.kunz@tngtech.com,tobi,tobi,'',,1,16
,Lea,Reckordt,Female,,Automotive,Other,Munich,Germany,,lea.reckordt@gmail.com,Lea_Reckordt,lea,'','',13,17
,Jana,Kerkhoff,Female,,ICT,Sales,Munich,Germany,,jana1103k@googlemail.com,Jana,Jana,'','',4,18
Prof.,Barney,Kohl,Female,ATeam,Automotive,Sales,Springfield,USA,Exhibitor,t@k.de,barney,barney,'',,4,19
,Celine,Perrot,Female,BMW,Automotive,IT,Munich,Germany,,celine.perrot@t-online.de,celine.perrot,ILOVEMMT,'','',0,20
Prof.,Johann,Kranz,Male,LMU,ICT,IT,Munich,Germany,,johann@kranz.de,Johann_Kranz,Johann,,,14,21
Dr.,Thomas,Kloppenburg,Male,Goldbeck,Construction,Marketing,Berlin,Germany,Exhibitor,Thomas@Goldbeck.de,Thomas_Goldbeck,Thomas,,,10,22
Prof.,Sebastian,Lohmann,Male,Eurovia,Construction,Procurement,Dresden,Germany,Exhibitor,sebastian.lohmann@eurovia.com,Basti,basti,,,12,23
,Fritz,Brinkmann,Male,Oevermann,Construction,Sales,Frankfurt,Germany,,Fritz@Brinkmann.de,Fritz_Brinkmann,Fritz,,,8,24
,Maria,Schuessler,Female,Bauer_AG,Construction,Executive_Management,Stuttgart,Germany,,maria@xn--schssler-85a.de,Maria,maria,,,9,25
Prof.,Melanie,Brecht,Female,Koester,Metal_Production,Quality_Management,Hamburg,Germany,,Melanie@Brecht.de,Melanie_Brecht,Melanie,,,6,26
Prof._Dr.,Joachim,Feldweg,Male,Kaefer_Isoliertechnik_,Construction,Finance_and_Controlling,Bremen,Germany,Visitor,joachim@feldweg.de,Joachim,joachim,,,12,27
Prof._Dr.,Wilhelm,Gider,Male,Geider,Metal_Production,Executive_Management,Oberstorf,Germany,Exhibitor,Wilhelm@Gider.de,Wilhelm_Gider,Wilhelm,,'',2,28
Prof._Dr.,Johann,Kranz,Male,LMU_Muenchen,ICT,Executive_Management,Munich,Germany,,johann.kranz@bwl.lmu.de,Johann.kranz,kranz,,,4,29
,Frida,Bohnmann,Female,Liebherr,Construction,Research_and_Development,Stuttgart,Germany,,Frida@Bohnmann.de,Frida_Bohnmann,Frida,,,9,30
,Anne_Sophie,David,Female,Microsoft,ICT,Marketing,Munich,Germany,,Sophie@david.de,Sophie,sophie,,,9,31
,Rainer,Wittmann,Male,LMU,ICT,Other,Munich,Germany,,Rainer@Wittmann.de,Rainer_Wittmann,Rainer,,,1,32
,Nadine,Teichelmann,Female,EY,Other,Finance_and_Controlling,Munich,Germany,,nadine@teichelmann.de,Nadine,nadine,,,6,33
,Christoph,Henkel,Male,Caterpillar,Construction,Event_Management,Hannover,Germany,Exhibitor,Christoph@Henkel.de,Christoph_Henkel,Christoph,,,8,34
,Hans,Wurst,Male,ATeam,Chemistry,Sales,Everywhere,USA,Exhibitor,hans@wurst.de,hanswurst,hans,,,12,35
Dr.,a,T,Male,,Automotive,Sales,,,Exhibitor,clausdieter@gmx.de,ClausDieter,ichliebemich,,,5,36
Prof._Dr.,Klaius,Peter,Male,,Automotive,Sales,Springfield,USA,Exhibitor,mr@t.de,Arnufl,knut,,,0,37
Dr.,Tim,Bertsch,Male,BMW,Automotive,Human_Resources,Munich,Germany,Exhibitor,Tim@Bertsch.de,Tim_Bertsch,Tim,,,7,38
,Katharina,Platzer,Female,Innospot,Publishing_and_Media,Event_Management,Munich,Germany,,katharina@platzer.de,Katha,katha,,,1,39
Prof.,Rasmus,Broedersen,Male,BAN,Chemistry,Sales,Springfield,USA,Visitor,rasmuss@rassi.co.uk,rasmus,Rasmus,,,9,40
Prof.,Stephanie,Katz,Female,BASF,Chemistry,PR_and_Communication,Ludwigshafen,Germany,Exhibitor,Stephanie@Katz.de,Stephanie_Katz,Stephanie,,,2,41
,Yannik,Wojcicki,Male,Immocation,Publishing_and_Media,Sales,Munich,Germany,,yannik@w.de,Yannik,yannik,,,11,42
Prof._Dr.,Max,Mustermann,Male,Mustermann,Automotive,Research_and_Development,Springfield,USA,Exhibitor,knutson@testson.de,maxi,max,,,3,43
Prof._Dr.,Johanna,Potthast,Female,ProSieben,Publishing_and_Media,Other,Munich,Germany,,Johanna@Potthast.de,Johanna_Potthast,Johanna,,,14,44
,Arno,Holz,Male,Selbststaendig,Energy,Procurement,Everywhere,Germany,Visitor,arnoholz@gmail.de,arno,arno,,,11,45
,Amadea,Pely,Female,Allianz,ICT,Executive_Management,Munich,Germany,,amadea@pely.de,Amadea,amadea,,,2,46
Prof.,Horst,Fischer,Male,Burns,Forestry,Sales,Spanien,Daheim,Visitor,horsti@fischer.de,horsti,horst,,,0,47
Dr.,Friedrich,Mueller,Male,Allianz,Consumer_goods,Executive_Management,Dresden,Germany,,Friedrich@Mueller.de,Friedrich_Mueller,Friedrich,,,0,48
Prof.,Barney,Simpsons,Male,Burns,Automotive,Sales,Springfield,USA,Visitor,BarneyGumble@google.de,BarneyGumble,bg,,,10,49
,Celine,Perrot,Female,Liebherr,Construction,Sales,Munich,Germany,Exhibitor,celine.marie.perrot@gmail.com,Celine_Perrot,ILOVEMMT,'','',7,50
Dr.,Marc,Scholz,Male,Bilfinger,Construction,Procurement,Munich,Germany,,marc.scholz@bilfinger.com,Marc_Scholz,persona,'','',5,51
